#;NAME;RAJ;DECJ;F0;F1;DIST;EDOT;
;;(hms);(dms);(Hz);(s^-2);(kpc);(ergs/s);
97;B0320+39;03:23:26.6;+39:44:52.9;0.329807;-6.914e-17;2.61;9.00e+29;
98;J0324+5239;03:24:55.4;+52:39:31.3;2.970707;-3.362e-15;6.28;3.94e+32;
99;J0325+67;03:26;+67:49;0.732740;*;3.49;*;
100;J0329+1654;03:29:08.5;+16:54:02;1.119420;-2.697e-16;3.35;1.19e+31;
101;B0329+54;03:32:59.3;+54:34:43.5;1.399542;-4.012e-15;1.00;2.22e+32;
102;J0332+79;03:32:45;+79:10;0.486332;*;0.93;*;
103;B0331+45;03:35:16.6;+45:55:53.4;3.714703;-1.014e-16;2.08;1.49e+31;
104;J0337+1715;03:37:43.8;+17:15:14.8;365.953363;-2.366e-15;1.30;3.42e+34;
105;J0338+66;03:39;+66:44;0.567537;*;3.63;*;
106;J0340+4130;03:40:23.2;+41:30:45.2;303.951368;*;2.67;*;
107;J0341+5711;03:41;+57:11;0.529661;*;4.47;*;
108;J0343-3000;03:43:27.9;-30:00:27.5;0.385056;-8.451e-18;2.22;1.28e+29;
109;B0339+53;03:43:12.9;+53:12:53.4;0.516935;-3.587e-15;2.48;7.32e+31;
110;J0348+0432;03:48:43.6;+04:32:11.4;25.560636;-1.573e-16;2.10;1.59e+32;
111;J0357+3205;03:57:52.5;+32:05:25;2.251722;-6.610e-14;*;5.88e+33;
112;B0353+52;03:57:44.8;+52:36:57.7;5.075367;-1.228e-14;4.73;2.46e+33;
113;J0358+42;03:58;+42:06;4.415446;*;2.07;*;
114;B0355+54;03:58:53.7;+54:13:13.7;6.394581;-1.798e-13;1.00;4.54e+34;
115;J0358+66;03:58;+66:40;10.928147;*;3.52;*;
116;B0403-76;04:01:51.6;-76:08:13.8;1.834012;-5.174e-15;1.50;3.75e+32;
117;B0402+61;04:06:30.0;+61:38:41.0;1.681870;-1.576e-14;3.05;1.05e+33;
118;J0407+1607;04:07:54.9;+16:07:16.4;38.907873;-1.196e-16;4.07;1.84e+32;
119;J0408+551;04:08;+55;0.544366;*;2.04;*;
120;J0408+552;04:08;+55;1.326260;*;2.36;*;
121;J0410-31;04:10:39;-31:07:29;0.532340;*;0.52;*;
122;J0413+58;04:13;+58;1.455604;*;2.24;*;
123;B0410+69;04:15:55.6;+69:54:09.8;2.559410;-5.018e-16;1.57;5.07e+31;
124;J0417+35;04:17:43;+35:45;1.528117;*;2.68;*;
125;J0417+61;04:17;+61:08;2.271266;*;3.60;*;
126;J0418-4154;04:18:04.2;-41:54:10.8;1.320797;-1.700e-15;2.46;8.86e+31;
127;J0418+5732;04:18:33.8;+57:32:22.9;0.110152;-4.975e-17;*;2.16e+29;
128;J0419+44;04:19;+44;0.805802;*;3.12;*;
129;J0420-5022;04:20:01.9;-50:22:48.1;0.289603;-2.314e-15;*;2.65e+31;
130;J0421-0345;04:21:33.5;-03:45:06.6;0.462683;-2.491e-16;3.09;4.55e+30;
131;J0426+4933;04:26:06.8;+49:33:38.4;1.084041;-4.624e-14;3.60;1.98e+33;
132;J0435+27;04:35:34;+27:44;3.064859;*;3.43;*;
133;J0437-4715;04:37:15.8;-47:15:09.1;173.687946;-1.728e-15;0.16;1.19e+34;
134;J0447-04;04:47;-04:35;0.456999;*;2.90;*;
135;J0448-2749;04:48:41.5;-27:49:46.7;2.220010;-7.311e-16;2.87;6.41e+31;
136;J0449-7031;04:49:05.6;-70:31:31.7;2.086968;-1.468e-14;53.70;1.21e+33;
137;B0447-12;04:50:08.7;-12:48:07.1;2.283031;-5.350e-16;3.27;4.82e+31;
138;J0451-67;04:51:50;-67:18;4.074078;-0.000e+00;53.70;*;
139;B0450-18;04:52:34.1;-17:59:23.3;1.821695;-1.909e-14;0.40;1.37e+33;
140;J0453+1559;04:53:45.4;+15:59:21.3;21.842733;-8.880e-16;1.83;7.66e+32;
141;B0450+55;04:54:07.7;+55:43:41.4;2.934880;-2.043e-14;1.18;2.37e+33;
142;B0456-69;04:55:47.5;-69:51:34.3;3.120877;-9.946e-14;53.70;1.23e+34;
143;J0456-69;04:56:30;-69:10;8.541675;*;53.70;*;
144;J0456-7031;04:56:02.5;-70:31:06.6;1.249794;-5.732e-14;53.70;2.83e+33;
145;J0457+23;04:57:06;+23:34:00;1.980590;*;3.89;*;
146;J0457-6337;04:57:07.7;-63:37:30.4;0.400479;-3.368e-17;2.94;5.32e+29;
147;J0457-69;04:57:02;-69:46;4.321701;*;53.70;*;
148;J0458-0505;04:58:37.1;-05:05:05.1;0.530932;-1.494e-16;3.83;3.13e+30;
149;J0458-67;04:58:59;-67:43;0.881912;*;53.70;*;
150;J0459-0210;04:59:51.9;-02:10:06.6;0.882553;-1.089e-15;1.30;3.79e+31;
151;J0501+4516;05:01:06.7;+45:16:33.9;0.173548;-1.752e-13;2.20;1.20e+33;
152;B0458+46;05:02:04.5;+46:54:06.0;1.566010;-1.369e-14;1.78;8.46e+32;
153;B0502-66;05:02:50.5;-66:17:58.8;1.446652;-4.832e-14;53.70;2.76e+33;
154;J0509+08;05:09:24;+08:57:00;243.902439;*;2.58;*;
155;J0510+38;05:09:59;+38:12;13.060900;*;2.74;*;
156;J0511-6508;05:11:56.5;-65:08:36.5;3.104994;-1.986e-15;2.17;2.43e+32;
157;J0514-4002A;05:14:06.6;-40:02:48.8;200.377707;-4.700e-17;12.10;3.72e+32;
158;J0514-4407;05:14:51.8;-44:07:06.5;3.309067;*;0.92;*;
159;J0517+22;05:17:10;+22:16;4.497535;*;1.10;*;
160;J0519+44;05:19;+44;1.941748;*;2.03;*;
161;J0519+54;05:20;+54:25;2.939499;*;2.03;*;
162;J0519-6932;05:19:46.9;-69:32:23.4;3.799224;-1.006e-14;53.70;1.51e+33;
163;J0520-2553;05:20:36.1;-25:53:12.2;4.138350;-5.154e-16;3.47;8.42e+31;
164;J0521-68;05:21:44;-68:35;2.307227;*;53.70;*;
165;J0522-6847;05:22:23.0;-68:47:02.2;1.482510;-3.896e-14;53.70;2.28e+33;
166;B0523+11;05:25:56.4;+11:15:19.0;2.821371;-5.859e-16;7.68;6.53e+31;
167;J0525-6607;05:26:00.9;-66:04:36.3;0.124270;-1.004e-12;*;4.92e+33;
168;B0525+21;05:28:52.2;+22:00:04;0.266984;-2.855e-15;2.28;3.01e+31;
169;B0529-66;05:29:50.9;-66:52:38.2;1.024879;-1.629e-14;53.70;6.59e+32;
170;J0532-6639;05:32:59.5;-66:39:37.3;1.555832;-1.296e-14;53.70;7.96e+32;
171;J0532-69;05:32:04;-69:46;1.740348;*;53.70;*;
172;J0533+0402;05:33:25.8;+04:02:00.5;1.038403;-1.725e-16;6.66;7.07e+30;
173;J0533+67;05:33;+67;227.790433;*;5.80;*;
174;B0531+21;05:34:31.9;+22:00:52.0;29.946923;-3.775e-10;2.00;4.46e+38;
175;J0534-6703;05:34:36.1;-67:03:48.8;0.550187;-1.287e-13;53.70;2.79e+33;
176;J0535-66;05:35:40;-66:52;4.750044;*;53.70;*;
177;J0535-6935;05:35;-69:35;4.987249;-2.860e-13;53.70;5.63e+34;
178;B0538-75;05:36:30.7;-75:43:56.7;0.802661;-3.640e-16;1.04;1.15e+31;
179;J0537-69;05:37:43;-69:21;8.879953;*;53.70;*;
180;J0537-6910;05:37:47.4;-69:10:19.8;62.026190;-1.992e-10;53.70;4.88e+38;
181;J0538+2817;05:38:25.0;+28:17:09.1;6.985276;-1.790e-13;1.30;4.94e+34;
182;J0540+3207;05:40:37.1;+32:07:37.3;1.907411;-1.630e-15;2.37;1.23e+32;
183;B0540-69;05:40:11.2;-69:19:54.1;19.802444;-1.878e-10;53.70;1.47e+38;
184;J0540-7125;05:40:30.8;-71:25:31.4;0.777596;-4.958e-16;2.69;1.52e+31;
185;J0542-68;05:42:35;-68:16;2.351895;*;53.70;*;
186;B0540+23;05:43:09.6;+23:29:05;4.065458;-2.549e-13;3.54;4.09e+34;
187;J0543-6851;05:43:52.7;-68:51:25.3;1.410528;-7.839e-15;53.70;4.37e+32;
188;J0545-03;05:45;-03:10;0.931159;*;6.30;*;
189;J0546+2441;05:46:28.7;+24:41:21;0.351636;-9.459e-16;3.16;1.31e+31;
190;J0554+3107;05:54:05.0;+31:07:41;2.150718;-6.596e-13;*;5.60e+34;
191;J0555+3948;05:55;+39:48;0.871911;*;1.76;*;
192;J0555-7056;05:55:01.8;-70:56:45.6;1.207966;-8.697e-15;53.70;4.15e+32;
193;J0557+1550;05:57:31.4;+15:50:06.0;391.180128;-1.125e-15;5.65;1.74e+34;
194;B0559-57;06:00:46.5;-57:56:54;0.442211;-5.436e-16;2.55;9.49e+30;
195;B0559-05;06:01:58.9;-05:27:50.5;2.525449;-8.305e-15;7.54;8.28e+32;
196;J0605+37;06:05;+37;366.300366;*;1.16;*;
197;J0608+00;06:08:49;+00:39;0.929195;*;2.58;*;
198;J0609+2130;06:09:58.8;+21:30:02.8;17.953962;-7.575e-17;1.82;5.37e+31;
199;J0610-2100;06:10:13.5;-21:00:28.0;258.978479;-8.283e-16;5.64;8.47e+33;
200;J0610+37;06:11;+37:18;2.252958;*;1.88;*;
201;J0611+30;06:11:16;+30:16;0.708170;*;1.95;*;
202;B0609+37;06:12:48.6;+37:21:37.3;3.355904;-6.697e-16;1.49;8.87e+31;
203;J0613-0200;06:13:43.9;-02:00:47.2;326.600562;-1.023e-15;1.09;1.32e+34;
204;J0613+3731;06:13:12.1;+37:31:38.3;1.614992;-8.463e-15;1.05;5.40e+32;
205;B0611+22;06:14:17.1;+22:30:36;2.985431;-5.299e-13;4.74;6.24e+34;
206;J0614-3329;06:14:10.3;-33:29:54.1;317.594455;-1.770e-15;1.02;2.22e+34;
207;J0614+83;06:14;+83:14;0.962276;*;4.04;*;
208;J0621+0336;06:21:11.2;+03:36:45.5;3.704334;-9.935e-17;3.58;1.45e+31;
209;J0621+1002;06:21:22.1;+10:02:38.7;34.657407;-5.684e-17;1.88;7.78e+31;
210;J0621+25;06:21;+25;367.647059;*;4.25;*;
211;J0622+3749;06:22:10.5;+37:49:13.6;3.001126;-2.290e-13;*;2.71e+34;
212;J0623+0340;06:23:46.7;+03:40:06.8;1.629302;-2.346e-16;2.53;1.51e+31;
213;B0621-04;06:24:20.0;-04:24:50.4;0.962393;-7.692e-16;4.28;2.92e+31;
214;J0625+10;06:25:45;+10:16;2.006433;*;3.36;*;
215;J0627+0649;06:27:53.6;+06:49:54.1;2.885815;-1.414e-14;4.00;1.61e+33;
216;J0627+0706;06:27:44.1;+07:06:33.3;2.101383;-1.316e-13;7.88;1.09e+34;
217;J0627+16;06:27:13;+16:12;0.458716;*;5.87;*;
218;J0628+0909;06:28:36.1;+09:09:13.9;0.805528;-3.555e-16;4.00;1.13e+31;
219;B0626+24;06:29:05.7;+24:15:43.3;2.098095;-8.785e-15;4.67;7.28e+32;
220;J0630-0046;06:30:26.9;-00:46:05.8;1.469346;-8.092e-15;5.57;4.69e+32;
221;B0628-28;06:30:49.4;-28:34:42.7;0.803588;-4.600e-15;0.32;1.46e+32;
222;J0631+1036;06:31:27.5;+10:37:02.5;3.474635;-1.264e-12;6.54;1.73e+35;
223;J0633+0632;06:33:44.2;+06:32:34.9;3.362529;-8.999e-13;*;1.19e+35;
224;J0633+1746;06:33:54.1;+17:46:12.9;4.217640;-1.952e-13;0.25;3.25e+34;
225;J0633-2015;06:33:08.8;-20:15:07.1;0.307389;-3.609e-16;7.84;4.38e+30;
226;J0635+0533;06:35:18;+05:33:11;29.536430;*;*;*;
227;J0636-4549;06:36:33.7;-45:49:32.6;0.503881;-8.054e-16;0.98;1.60e+31;
228;J0636+5129;06:36:04.8;+51:28:59.9;348.559232;-4.106e-16;0.20;5.65e+33;
229;J0645+5158;06:45:59.0;+51:58:14.9;112.949723;-6.281e-17;0.77;2.80e+32;
230;J0645+80;06:46;+80:09;1.520050;*;3.95;*;
231;J0646+0905;06:46:30.9;+09:05:49.3;1.106301;-9.004e-16;9.50;3.93e+31;
232;J0647+0913;06:47:15.6;+09:13:59.5;0.809813;-4.211e-15;10.84;1.35e+32;
233;J0652-0142;06:52:11.1;-01:42:30.3;1.082188;-1.786e-16;5.83;7.63e+30;
234;B0643+80;06:53:15.0;+80:52:00.2;0.823424;-2.576e-15;3.37;8.37e+31;
235;J0656-2228;06:56:30.2;-22:28:25.5;0.816490;-1.780e-17;1.79;5.74e+29;
236;J0656-5449;06:56:48.9;-54:49:14.9;5.459800;-9.512e-16;4.88;2.05e+32;
237;J0658+0022;06:58:15.2;+00:22:35.3;1.775269;-2.884e-14;6.46;2.02e+33;
238;B0656+14;06:59:48.1;+14:14:21.5;2.598137;-3.713e-13;0.28;3.81e+34;
239;B0655+64;07:00:37.8;+64:18:11.2;5.110621;-1.790e-17;0.49;3.61e+30;
240;J0702-4956;07:02:39.3;-49:56:34.2;1.501516;*;5.49;*;
241;J0709-5923;07:09:32.5;-59:23:55.6;2.060715;-5.351e-16;4.94;4.35e+31;
242;J0711+0931;07:11:36.1;+09:31:25;0.823662;-2.714e-16;2.39;8.82e+30;
243;J0711-6830;07:11:54.1;-68:30:47.4;182.117235;-4.944e-16;1.04;3.55e+33;
244;J0719-2545;07:19:07.3;-25:45:00.2;1.025931;-7.664e-15;17.33;3.10e+32;
245;J0720-3125;07:20:24.9;-31:25:50.0;0.119174;-9.918e-16;0.40;4.67e+30;
246;J0721-2038;07:21:42.9;-20:38:07.0;64.340148;-1.821e-16;3.87;4.63e+32;
247;J0725-1635;07:25:00.4;-16:35:45.8;2.356760;-5.146e-16;4.68;4.79e+31;
248;J0726-2612;07:26:08.1;-26:12:38.1;0.290503;-2.474e-14;3.01;2.84e+32;
249;J0729-1448;07:29:16.4;-14:48:36.8;3.973635;-1.789e-12;4.37;2.81e+35;
250;B0727-18;07:29:32.3;-18:36:42.7;1.960168;-7.284e-14;3.25;5.64e+33;
251;J0733-2345;07:33:24.6;-23:45:56.2;0.556715;-1.768e-15;11.95;3.89e+31;
252;J0734-1559;07:34;-15:59;6.400000;-5.000e-13;*;1.26e+35;
253;J0735-62;07:35:22;-62:58;0.205637;*;0.83;*;
254;J0737-2202;07:37:44.0;-22:02:05.3;3.121426;-5.328e-14;4.30;6.57e+33;
255;J0737-3039A;07:37:51.2;-30:39:40.7;44.054069;-3.416e-15;1.10;5.94e+33;
256;J0737-3039B;07:37:51.2;-30:39:40.7;0.360560;-1.160e-16;1.10;1.65e+30;
257;J0737+69;07:37;+69:14;0.146536;*;0.94;*;
258;B0736-40;07:38:32.3;-40:42:40.9;2.667236;-1.150e-14;1.60;1.21e+33;
259;J0740+41;07:41;+41:04;318.550975;*;1.29;*;
260;B0740-28;07:42:49.0;-28:22:43.7;5.996559;-6.049e-13;2.00;1.43e+35;
261;J0742+66;07:42;+66:20;346.535920;*;0.87;*;
262;B0743-53;07:45:02.3;-53:51:22;4.654706;-5.915e-14;7.14;1.09e+34;
263;J0746-4529;07:46:59.5;-45:29:26.6;0.358291;-2.139e-15;5.71;3.03e+31;
264;J0746+66;07:46;+66:36;2.452963;*;2.38;*;
265;J0749-4247;07:49:49.6;-42:47:42.1;0.912865;-8.142e-16;2.36;2.93e+31;
266;J0750+57;07:50;+57:00;0.851154;*;2.19;*;
267;J0751+1807;07:51:09.1;+18:07:38.6;287.457859;-6.434e-16;0.40;7.30e+33;
268;B0751+32;07:54:40.6;+32:31:56.2;0.693313;-5.191e-16;3.92;1.42e+31;
269;B0756-15;07:58:29.0;-15:28:08.7;1.465706;-3.478e-15;3.72;2.01e+32;
270;J0804-3647;08:04:22.2;-36:47:35.5;0.456207;-8.762e-16;7.79;1.58e+31;
271;J0806+08;08:06:05;+08:17;0.484707;*;5.07;*;
272;J0806-4123;08:06:23.4;-41:22:30.9;0.087948;-4.300e-16;*;1.49e+30;
273;J0807-5421;08:07:47.1;-54:21:26.4;1.898818;-1.363e-15;8.76;1.02e+32;
274;J0808-3937;08:08:11.6;-39:37:52.9;1.154269;-5.343e-16;5.62;2.43e+31;
275;B0808-47;08:09:43.8;-47:53:55.1;1.827488;-1.029e-14;12.71;7.43e+32;
276;J0812-3905;08:12:14.8;-39:05:48.9;2.072127;-1.928e-16;26.83;1.58e+31;
277;B0809+74;08:14:59.5;+74:29:05.7;0.773849;-1.007e-16;0.43;3.08e+30;
278;J0815+0939;08:15:08.7;+09:39:50.7;1.550000;-3.339e-16;4.52;2.04e+31;
279;J0818-3049;08:18:49.3;-30:49:31;1.309343;-9.943e-16;4.17;5.14e+31;
280;J0818-3232;08:18:25.9;-32:32:30.5;0.462693;-1.613e-16;3.82;2.95e+30;
281;B0818-13;08:20:26.3;-13:50:55.8;0.807670;-1.373e-15;1.90;4.38e+31;
282;J0820-3826;08:20:59.9;-38:26:42.8;8.010485;-1.567e-13;6.82;4.95e+34;
283;J0820-3921;08:20:49.1;-39:21:55.7;0.931475;-1.056e-14;6.19;3.88e+32;
284;B0818-41;08:20:15.4;-41:14:36.4;1.833364;-6.353e-17;2.38;4.60e+30;
285;J0821-4221;08:21:44.6;-42:21:25.4;2.520617;-2.210e-14;18.16;2.20e+33;
286;J0821-4300;08:21:57.3;-43:00:17.0;8.865291;-7.290e-16;2.20;2.55e+32;
287;B0820+02;08:23:09.7;+01:59:12.4;1.156239;-1.398e-16;1.44;6.38e+30;
288;J0824+00;08:24:16;+00:27;101.010101;*;2.57;*;
289;B0823+26;08:26:51.3;+26:37:23.7;1.884444;-6.070e-15;0.32;4.52e+32;
290;B0826-34;08:28:16.6;-34:17:07;0.540857;-2.914e-16;0.54;6.22e+30;
291;J0831-4406;08:31:32.4;-44:06:11.9;3.208486;-1.317e-14;12.73;1.67e+33;
292;J0834-4159;08:34:16.3;-41:59:51;8.256524;-3.025e-13;9.74;9.86e+34;
293;J0834-60;08:34:50;-60:35;2.599800;*;0.49;*;
294;J0835-3707;08:35:03.0;-37:07:51.5;1.847048;-3.336e-14;2.34;2.43e+33;
295;J0835-42;08:35:37;-42:32:37;1.354280;*;6.75;*;
296;B0833-45;08:35:20.6;-45:10:34.8;11.194650;-1.567e-11;0.28;6.92e+36;
297;B0834+06;08:37:05.6;+06:10:14.5;0.785072;-4.191e-15;0.76;1.30e+32;
298;J0837-24;08:37:44;-24:47:48;*;*;10.34;*;
299;B0835-41;08:37:21.1;-41:35:14.3;1.330453;-6.265e-15;1.50;3.29e+32;
300;J0838-2621;08:38:18.8;-26:21:29.5;3.240644;-4.096e-16;4.56;5.24e+31;
301;J0838-3947;08:38:30.8;-39:47:22;0.586873;-2.800e-16;8.21;6.49e+30;
302;B0839-53;08:40:33.8;-53:32:35.5;1.387709;-3.166e-15;7.77;1.73e+32;
303;B0840-48;08:42:05.3;-48:51:20.8;1.551942;-2.287e-14;8.68;1.40e+33;
304;J0843+0719;08:43:33.8;+07:18:47.8;0.732139;*;3.72;*;
305;J0843-5022;08:43:09.8;-50:22:43.1;4.785704;-3.948e-15;7.69;7.46e+32;
306;B0844-35;08:46:06.0;-35:33:40.7;0.895979;-1.286e-15;1.43;4.55e+31;
